packet_size	connection_duration	src_bytes	protocol_type	is_malicious	Category
256	5.959698514330715	30475	2	0	Normal User
803	3.5671606423331044	46148	1	1	Normal User
227	7.110993836273678	48785	2	0	Normal User
419	4.868503180844741	19563	1	0	Normal User
532	3.8420771422103193	2606	0	0	Normal User
1104	7.080335206536933	25057	2	0	Normal User
1220	2.5623691288598507	49354	2	1	Server Node
54	3.3695000372890758	21107	1	1	Server Node
104	4.401073260433886	38099	1	0	Normal User
560	2.6114535213440737	29029	2	0	Normal User
1407	4.111500659136029	36454	0	0	Normal User
1192	5.757582949529605	28356	1	0	Server Node
687	7.435641223015616	3073	1	1	Server Node
1126	7.69522904577486	13308	1	1	Server Node
1202	8.245624483579261	35867	2	0	Normal User
632	7.46769540373865	37301	2	0	Normal User
431	6.842290328259399	41696	2	0	Normal User
458	2.4513140657954526	34572	2	1	Server Node
328	4.062206639433046	24252	0	0	Normal User
418	4.829377419714254	18185	0	1	Server Node
270	0.9206240847642068	41901	2	0	Server Node
1057	5.33086420084237	11872	0	1	Server Node
80	4.419724732904904	9496	1	0	Normal User
1091	8.040881565364668	16958	1	1	Server Node
174	9.781216620667282	32389	1	0	Normal User
240	5.604449882561587	27165	2	0	Normal User
819	3.2945952439480783	38743	1	0	Normal User
969	0.5296677546519104	32153	0	1	Server Node
1096	9.2539689692136	27157	2	0	Normal User
1111	9.199245581258728	40452	0	1	Server Node
542	2.604602663093487	22680	1	1	Server Node
446	6.98457011875581	32396	1	0	Normal User
844	0.8468020161887158	13375	1	0	Normal User
138	1.7455327759016042	2122	2	0	Server Node
723	2.2464101552062634	49256	0	1	Server Node
765	3.015490073710356	41309	2	0	Normal User
1000	9.95873061279077	17225	2	1	Server Node
652	6.999558053051767	41260	1	1	Server Node
682	3.903598130654277	16146	2	0	Server Node
1068	7.39729698784589	17529	2	0	Server Node
1281	9.161017982524152	29902	1	0	Normal User
542	9.591153833337676	4763	2	0	Normal User
806	0.6728525878013032	31487	1	0	Normal User
437	4.005765806220485	47328	1	0	Normal User
910	1.1568850527652554	48424	1	1	Server Node
834	3.423034641489936	9146	1	1	Server Node
432	1.7798310485660989	28029	2	1	Server Node
246	6.503798780520365	12164	1	0	Server Node
1078	3.943857001499735	36237	1	1	Server Node
931	2.371007982479002	36296	2	1	Server Node
903	2.7327854571459658	24527	2	1	Server Node
782	3.667416442532156	29873	0	1	Server Node
1304	2.673503642257201	36897	2	1	Server Node
603	4.587084383605427	21109	2	0	Normal User
1060	0.4199279159855396	36335	0	0	Normal User
135	2.869658720972563	39209	2	1	Normal User
524	4.170946536634643	19750	2	1	Server Node
1470	6.067540632030656	21672	2	1	Server Node
270	2.782480660899786	12055	2	0	Normal User
788	1.4185327397151222	22374	0	0	Normal User
1234	0.8543837580317152	13581	2	1	Server Node
580	9.411265088640295	24563	2	0	Normal User
1099	4.224726671610944	7319	0	0	Server Node
564	5.85350994969018	26212	1	1	Server Node
1223	9.19984786317204	25262	0	0	Normal User
1306	0.9192093583495308	11546	1	0	Normal User
1149	8.778948710665349	31963	0	1	Server Node
617	5.560719938186294	29269	0	0	Normal User
721	1.7318591852563094	23650	2	0	Normal User
596	4.171425654195153	3211	1	1	Server Node
1052	7.798262608978733	5353	2	0	Normal User
685	4.855663810476911	29577	1	0	Normal User
835	9.854331901588491	24363	0	1	Server Node
1091	3.8297158023856137	22292	0	1	Server Node
1403	7.520825169763113	40983	1	1	Server Node
1394	3.990595544890705	9442	2	0	Normal User
1411	8.308725784994493	48775	2	1	Server Node
1294	5.733906544740901	49094	2	0	Normal User
229	0.7287671129410134	2262	2	1	Server Node
1288	0.4645364895963146	32487	0	0	Server Node
1448	1.4251359761262687	16350	0	1	Server Node
1440	0.2353524517872731	12612	0	1	Server Node
1346	0.8460546974893769	24558	0	1	Server Node
672	6.947972531972229	45920	0	1	Normal User
667	5.390028122791684	39390	2	0	Normal User
1012	7.524116419752721	981	2	1	Server Node
1322	9.140340947350664	47804	2	1	Server Node
1422	5.892980370022173	33421	2	0	Normal User
749	7.288596356311296	40885	0	1	Server Node
1474	7.595103900220313	2024	0	0	Server Node
688	3.840720437830286	35388	0	1	Server Node
357	2.486739840063356	15548	1	1	Server Node
1288	2.129948752214597	35611	2	1	Normal User
1297	2.589280151166805	38404	2	0	Normal User
723	2.819844790556497	34508	0	1	Server Node
703	2.151553725179759	560	2	1	Server Node
1437	8.794384608044004	9630	2	1	Server Node
1296	7.594291408505064	18523	0	0	Normal User
1176	0.5642750311330772	45580	1	0	Normal User
481	2.759857572050543	13850	1	1	Server Node
603	0.3196289460999861	24854	1	0	Server Node
1331	5.03183534779434	45686	0	1	Server Node
1449	4.81448589821124	28645	2	1	Server Node
1450	8.330577751618762	34520	0	1	Server Node
1176	3.1469946737333894	21087	0	1	Server Node
991	8.182218778609316	41631	2	1	Server Node
1144	9.682940277854248	10150	1	1	Server Node
738	0.9752414113199012	20433	1	1	Server Node
152	7.938996610749366	21081	0	0	Normal User
41	5.940563381662597	23893	1	0	Normal User
681	4.852455073482903	23551	0	0	Normal User
259	4.263304208784243	26712	0	0	Normal User
894	7.868215813048664	49582	2	0	Normal User
1288	6.429677434044999	4590	2	0	Normal User
424	8.069942208441683	7460	2	0	Normal User
1466	9.0411954808986	36272	0	1	Server Node
1193	6.210910749763191	22020	2	1	Server Node
1116	9.80658097841454	49981	1	1	Server Node
769	6.120069710464663	36908	1	1	Normal User
1479	6.402778784060597	28970	0	0	Normal User
286	5.592674524568034	20991	0	0	Normal User
875	1.0009207014081698	1841	2	1	Server Node
242	7.2913306232372594	45123	0	1	Server Node
1247	5.519718438301204	25291	0	0	Normal User
162	4.564013429419433	838	1	1	Server Node
440	9.113665656192405	6395	1	1	Server Node
806	3.0497985702653096	12754	2	1	Server Node
333	5.283662532548611	11844	0	1	Server Node
319	7.006654527785287	2250	0	0	Normal User
923	7.985070579171385	2921	1	1	Server Node
237	4.647533398667107	40387	0	1	Server Node
1021	8.436705008685225	5819	1	0	Normal User
791	7.712285639022435	16396	2	0	Normal User
183	0.755736180733472	12418	1	1	Server Node
648	0.5540265374058663	25564	0	0	Server Node
1264	6.245976275778704	47117	2	1	Server Node
1187	3.539392741431601	28435	1	1	Server Node
226	2.1703948316772905	38141	1	0	Normal User
1389	5.83853435127021	30211	2	1	Normal User
503	3.481475783519796	5306	2	1	Server Node
1412	5.418907825469294	41860	1	1	Server Node
699	4.655179673937363	12682	0	1	Server Node
803	5.889184448896621	22797	1	0	Normal User
994	4.062974840211785	20041	2	0	Normal User
442	7.006908979599625	29421	1	1	Normal User
1409	1.882665996258056	17274	2	0	Normal User
186	6.995364515648082	45313	2	1	Server Node
1211	4.175446022139528	37698	0	1	Server Node
903	8.755744288058729	9320	2	1	Server Node
528	5.200836943155688	24570	2	1	Server Node
968	9.733792457774031	4732	0	1	Server Node
590	6.059160415855506	11622	2	0	Normal User
377	2.316105752472574	15523	0	1	Server Node
911	8.235727304760047	8507	0	0	Normal User
680	3.516318015441629	18405	2	0	Server Node
512	3.541430223378567	42286	2	1	Server Node
190	0.4148663467031348	29898	1	1	Server Node
1478	5.532281561153345	34768	0	1	Server Node
1361	5.390792686951977	7237	1	1	Server Node
302	3.624315694292663	36562	2	1	Server Node
183	8.952750902669665	26010	1	0	Normal User
385	1.3746091431664749	19926	0	1	Server Node
663	3.367985181770538	37765	1	1	Server Node
1056	3.2836693703322872	18350	0	0	Normal User
920	1.0136768036645862	1114	2	0	Normal User
41	4.863339401157303	22276	2	1	Server Node
936	6.909068699251222	24577	0	0	Normal User
1367	5.165404434117886	9874	2	1	Server Node
293	1.654079058890318	35935	2	0	Server Node
492	3.835131055896519	31407	2	0	Server Node
1100	0.1256907413981009	13909	2	1	Server Node
1223	8.69618095965231	17014	0	0	Normal User
1054	0.9367183760387512	30366	1	0	Normal User
48	6.013053014328762	3483	1	0	Normal User
1296	9.86394425908147	32205	2	0	Normal User
1162	5.412247395274592	21162	1	0	Server Node
855	9.248013415163587	24010	1	0	Normal User
247	2.437553677862303	13151	2	1	Server Node
1194	7.623558548482097	41498	2	1	Server Node
443	5.359530964337987	29035	1	0	Normal User
191	7.233109007775502	7140	0	1	Server Node
93	0.7171794888612903	45047	2	1	Server Node
1183	1.5626170098716443	15817	0	1	Server Node
667	1.4178575930160349	8064	1	0	Normal User
626	6.902938503492978	27845	2	1	Server Node
1483	8.459962659072925	48788	0	0	Server Node
1485	7.521200696885015	29187	2	1	Server Node
143	0.4016743120625822	14237	1	0	Server Node
293	8.685428312639761	9823	0	0	Normal User
1290	3.6060520408519423	15729	1	1	Server Node
1175	4.031921941790417	44981	1	1	Server Node
549	1.1382047486715612	9002	2	0	Normal User
138	7.400311540328809	1045	0	1	Server Node
192	1.904610396911985	37614	1	1	Server Node
953	5.68325441098648	29930	1	1	Server Node
917	8.423028860191518	10496	0	0	Normal User
377	0.9831228542493564	28288	1	0	Normal User
861	5.3998220837536826	30469	1	1	Normal User
1226	2.4088424743430323	49043	0	1	Server Node
996	3.4949759563547764	14419	0	1	Server Node
200	4.792302420162506	4310	0	0	Normal User
840	3.615532602465117	31086	0	0	Normal User
437	6.523346118886602	40474	2	1	Server Node
1340	4.847862807367076	42273	0	1	Server Node
855	5.883574898670275	16871	2	1	Server Node
1455	7.394542506409637	45584	2	1	Server Node
1198	5.62164843290933	30129	2	1	Server Node
1258	5.906700803141515	8936	1	1	Server Node
440	5.6881395709741485	13484	2	0	Server Node
679	3.849848996917765	33539	2	1	Server Node
1096	3.4407236553319893	20395	1	0	Normal User
727	9.006509231735622	18655	1	1	Normal User
499	6.114796700706371	11116	1	1	Server Node
994	2.51909623910008	37629	0	0	Normal User
509	5.032652208704508	40337	1	0	Normal User
1438	3.3704499646810486	25074	1	0	Normal User
1085	9.34354905522276	3930	2	0	Normal User
789	0.1745901950273399	13176	1	1	Server Node
77	2.3307946973540297	11316	0	0	Normal User
269	3.717032514773171	33233	1	1	Normal User
1428	4.929317028006505	20644	0	0	Normal User
602	8.523093426577848	2550	1	1	Server Node
477	0.9700874829474244	44960	1	1	Server Node
1346	8.07806237873732	34433	1	1	Normal User
66	0.6509695446340559	25451	1	1	Normal User
265	8.438908949451998	32913	0	1	Server Node
1340	0.611191230957677	35301	0	1	Server Node
837	0.2806005661407743	33413	2	0	Server Node
323	6.999918477427573	47537	0	1	Server Node
918	9.972829794207104	41100	1	0	Server Node
999	8.976441603442806	25780	2	0	Normal User
492	5.802384336276034	25057	2	1	Server Node
1059	9.182216569546764	47554	2	0	Normal User
855	0.1524700633362936	35900	1	1	Server Node
698	9.75316491315691	4994	0	0	Normal User
586	4.958412914661966	15652	1	1	Server Node
1255	7.256671356555579	24395	2	0	Normal User
1112	8.22652858421819	9655	1	1	Server Node
56	7.212726981281881	32383	1	1	Normal User
1235	5.396863647244614	43694	0	1	Server Node
1283	4.818532892851478	43501	0	1	Server Node
197	8.401967331155985	2328	2	0	Server Node
516	2.1302678454796453	45528	1	1	Server Node
1109	9.68314125839192	42398	1	0	Server Node
1436	7.138429540483808	32623	0	0	Normal User
557	2.0751185806493657	38073	1	0	Normal User
138	7.388847118615033	1306	1	1	Server Node
1100	5.345416229493055	41470	1	0	Normal User
319	7.101577946880001	30257	0	0	Normal User
1412	7.701017064284104	35136	2	0	Normal User
536	0.9641727779377868	15061	2	1	Server Node
341	5.110429167957535	48780	1	1	Server Node
220	9.326941988343648	24762	2	0	Normal User
646	3.2743577023791914	15399	0	1	Server Node
1162	5.979442665823198	49488	0	1	Server Node
739	3.755381766947972	16434	2	0	Normal User
1032	4.597252924969086	38697	2	0	Normal User
1179	5.531170867587717	42344	1	1	Server Node
230	5.534327600900875	36832	2	0	Normal User
292	2.097131577069335	34657	1	1	Normal User
1020	6.8772583240103495	12093	1	1	Server Node
967	0.9698943013023024	40542	0	1	Server Node
1224	1.474365257076002	17820	0	1	Server Node
1319	0.1268379042018637	27876	0	1	Server Node
1386	1.2552910350026452	44013	0	1	Server Node
167	4.7843453904137325	14699	2	0	Normal User
57	6.100408622452802	16376	0	0	Normal User
605	7.963465554667978	8745	2	1	Server Node
609	1.1563225761230171	7714	0	1	Normal User
1386	8.522201854162901	1226	2	1	Server Node
725	7.485147802932309	47100	1	0	Normal User
665	4.144331100065577	11862	2	1	Server Node
1351	9.33608686428955	18797	2	0	Normal User
893	9.910201816928168	30948	0	1	Server Node
1001	2.129517919527049	26672	2	1	Server Node
194	3.854362991141624	43374	1	0	Normal User
529	9.27184929353814	8157	1	0	Normal User
1449	7.243805852437644	19350	0	1	Server Node
824	0.5761369752444682	25925	1	1	Normal User
1167	7.836993369339008	27185	2	1	Server Node
1456	8.29661478305717	47819	1	0	Normal User
285	7.529969055176604	25078	0	0	Normal User
1239	8.015417596103205	29331	2	0	Normal User
1102	8.268813499258693	8406	0	0	Normal User
798	1.9454093692026264	7787	2	0	Normal User
577	2.433348286043498	34160	1	0	Normal User
960	6.374209780829754	10722	0	1	Server Node
447	9.087874691578907	37943	0	1	Server Node
564	3.230346164735297	35201	2	0	Server Node
867	5.924236090371061	18264	0	1	Server Node
942	6.861522427829611	45141	2	1	Server Node
75	4.574291152860488	18174	2	0	Server Node
724	7.166446303067727	18524	2	1	Server Node
59	9.006707708392513	46507	2	0	Normal User
360	6.278605287400192	24374	1	0	Normal User
551	5.443832512954867	44142	2	1	Normal User
439	4.443572286344557	32784	0	0	Normal User
693	5.817114081970645	18102	1	0	Normal User
1011	3.6180882730021193	38284	0	0	Normal User
510	3.975672890994869	23765	1	0	Normal User
1206	5.365389048912922	26431	2	0	Normal User
1155	0.759529212669088	29341	1	0	Normal User
1417	2.367351370155484	29692	1	0	Normal User
873	5.474208175072748	47042	0	0	Normal User
766	4.372128617050782	43020	0	1	Server Node
893	3.3948762805335946	16085	2	1	Server Node
90	7.332436454412084	26059	1	1	Server Node
614	6.96780431329305	40559	1	0	Normal User
1253	1.7506345239344934	34242	1	0	Normal User
1188	8.798428242197039	4633	2	1	Server Node
189	5.00469390139926	15163	2	1	Server Node
353	7.44046302027655	22254	2	1	Server Node
609	5.774193407648148	4472	2	0	Normal User
1405	9.977156897646047	5795	2	1	Normal User
344	7.548790888384345	47181	0	1	Server Node
721	7.099106566310244	42373	1	0	Server Node
877	7.807862196602436	29625	1	1	Normal User
1117	1.5169670569298492	41496	1	0	Normal User
1042	2.1249914723776864	10403	1	0	Normal User
483	7.16923441401378	3520	1	0	Normal User
652	4.9904167225955405	42255	1	1	Server Node
1032	7.570889389415154	20920	1	1	Normal User
303	1.1188687043670358	21952	1	0	Normal User
1116	5.411165379697488	46148	0	1	Server Node
1043	3.8503334990134657	38501	1	1	Normal User
44	4.624302170888615	10016	0	1	Server Node
1166	6.079182933517874	47827	2	1	Server Node
1259	5.072654639879048	49969	1	0	Normal User
813	5.444620307417083	2896	2	1	Server Node
916	4.914939071756517	19046	2	0	Normal User
1031	4.148656253146383	19629	2	0	Normal User
923	7.741631607922626	2091	0	1	Server Node
1413	0.2208104159486407	11803	2	0	Normal User
86	6.024582741931748	31061	2	1	Normal User
906	5.698532638497441	6683	2	1	Server Node
862	7.190172839856227	27072	1	0	Normal User
975	6.030390711295532	34580	1	0	Normal User
695	8.285308395309876	21195	0	0	Normal User
308	9.594840466183877	7814	0	0	Normal User
409	3.49099014606758	20123	1	1	Server Node
675	2.3507747319968715	2639	0	1	Normal User
1169	4.29360893796278	47956	1	1	Server Node
696	2.950503203109689	31790	2	0	Normal User
159	6.188007605211279	18588	2	0	Normal User
870	9.127338847545351	40192	0	0	Normal User
1121	1.477250322016313	33630	1	1	Normal User
1409	1.0978665698572765	32588	1	0	Normal User
780	2.634553765351256	26792	0	1	Normal User
156	7.288346302017768	46749	1	0	Normal User
830	5.970332762062333	21170	2	1	Server Node
1190	1.111905375829476	4238	0	1	Server Node
1456	9.19563017038139	2969	0	0	Normal User
1052	7.921837907528459	23034	1	0	Normal User
1121	0.3279237873976114	49374	0	1	Server Node
673	6.548535388783637	9517	1	1	Server Node
552	7.735342018345406	3308	1	0	Normal User
841	3.806910160232178	49638	1	0	Normal User
1159	0.782323239735466	48138	1	1	Server Node
1181	0.8654785483389938	13213	1	0	Server Node
599	1.1320449639129142	40829	0	1	Server Node
527	8.420352356606188	3219	2	1	Server Node
1300	9.11579336273156	23390	2	0	Normal User
936	1.3158267402727648	12200	0	0	Server Node
1335	2.435469742491304	37009	0	0	Normal User
1252	1.7386530526361688	43034	2	0	Normal User
743	1.944576706991795	37266	2	0	Normal User
620	8.391158811124672	27205	2	1	Server Node
829	3.388249485283896	19287	2	1	Server Node
900	3.183298214051848	49345	2	0	Server Node
286	2.3512166466834152	27088	1	0	Normal User
1139	6.118154498563161	26623	0	0	Normal User
193	3.855126414016934	33562	1	1	Normal User
1498	7.468071553248559	10677	2	0	Server Node
1036	2.1352401029188117	22227	2	0	Normal User
1149	7.899119898273475	30720	2	1	Server Node
736	6.076843164128376	10382	1	1	Server Node
1348	1.2312462705513088	1636	1	0	Normal User
1283	4.203595383615914	35332	2	0	Server Node
1132	8.648829592068275	32466	1	0	Normal User
1110	9.237306294805	7509	1	1	Normal User
1048	4.7104312109562505	13487	2	0	Normal User
133	4.860286083081828	37811	1	0	Normal User
997	9.192701776899082	32075	0	0	Normal User
1051	5.911975418952015	1507	0	1	Server Node
492	0.4251820354100396	5945	0	1	Server Node
1267	9.136219682503375	11206	0	0	Normal User
951	2.557441783295804	48017	2	0	Server Node
257	5.818556345506317	44986	2	1	Server Node
513	1.738581842536941	29757	2	1	Server Node
471	0.4354036864412903	22236	0	1	Server Node
380	3.1835843942142987	42707	0	1	Server Node
590	7.826907504706268	13781	1	1	Server Node
1352	2.8481130090312394	1935	1	1	Normal User
1317	2.2789624194028613	33839	0	1	Server Node
396	2.2055397649781403	35650	0	1	Server Node
62	5.200219455827445	26321	0	1	Server Node
561	9.757859025259288	27160	0	0	Normal User
1163	4.643990981368429	5584	1	0	Server Node
841	5.617323152011474	17161	0	0	Server Node
1243	8.620256977118267	14007	1	1	Server Node
1286	5.39719021744322	7559	0	0	Normal User
801	1.9261824270466756	18771	0	1	Normal User
481	3.065999526488123	46039	0	1	Server Node
808	3.1683755700592484	7991	1	0	Normal User
1055	4.033449343030219	47795	1	1	Server Node
1388	4.325210162833819	15359	2	0	Normal User
555	8.017842018535267	8573	0	0	Normal User
