packet_size	connection_duration	src_bytes	protocol_type	is_malicious
54	3.3695000372890753	21107	TCP	1
104	4.401073260433886	38099	TCP	0
560	2.6114535213440737	29029	UDP	0
1407	4.111500659136029	36454	HTTP	0
1192	5.757582949529605	28356	TCP	0
687	7.435641223015616	3073	TCP	1
1126	7.69522904577486	13308	TCP	1
1202	8.245624483579261	35867	UDP	0
632	7.46769540373865	37301	UDP	0
431	6.842290328259399	41696	UDP	0
458	2.4513140657954526	34572	UDP	1
328	4.062206639433046	24252	HTTP	0
418	4.829377419714254	18185	HTTP	1
270	0.9206240847642069	41901	UDP	0
1057	5.33086420084237	11872	HTTP	1
80	4.419724732904904	9496	TCP	0
1091	8.040881565364668	16958	TCP	1
174	9.781216620667282	32389	TCP	0
240	5.604449882561587	27165	UDP	0
819	3.2945952439480783	38743	TCP	0
969	0.5296677546519104	32153	HTTP	1
1096	9.2539689692136	27157	UDP	0
1111	9.199245581258728	40452	HTTP	1
542	2.604602663093487	22680	TCP	1
446	6.98457011875581	32396	TCP	0
844	0.8468020161887158	13375	TCP	0
138	1.7455327759016042	2122	UDP	0
723	2.2464101552062634	49256	HTTP	1
765	3.015490073710356	41309	UDP	0
1000	9.95873061279077	17225	UDP	1
652	6.999558053051767	41260	TCP	1
682	3.9035981306542773	16146	UDP	0
1068	7.39729698784589	17529	UDP	0
1281	9.161017982524152	29902	TCP	0
542	9.591153833337676	4763	UDP	0
806	0.6728525878013032	31487	TCP	0
437	4.005765806220485	47328	TCP	0
910	1.1568850527652554	48424	TCP	1
834	3.4230346414899357	9146	TCP	1
432	1.7798310485660989	28029	UDP	1
246	6.503798780520365	12164	TCP	0
1078	3.943857001499735	36237	TCP	1
931	2.371007982479002	36296	UDP	1
903	2.7327854571459658	24527	UDP	1
782	3.667416442532156	29873	HTTP	1
1304	2.673503642257201	36897	UDP	1
603	4.587084383605427	21109	UDP	0
1060	0.4199279159855396	36335	HTTP	0
135	2.869658720972563	39209	UDP	1
524	4.170946536634643	19750	UDP	1
1470	6.0675406320306555	21672	UDP	1
270	2.782480660899786	12055	UDP	0
788	1.4185327397151222	22374	HTTP	0
1234	0.8543837580317152	13581	UDP	1
580	9.411265088640295	24563	UDP	0
1099	4.224726671610944	7319	HTTP	0
564	5.85350994969018	26212	TCP	1
1223	9.19984786317204	25262	HTTP	0
1306	0.9192093583495308	11546	TCP	0
1149	8.778948710665349	31963	HTTP	1
617	5.560719938186294	29269	HTTP	0
721	1.7318591852563094	23650	UDP	0
596	4.171425654195153	3211	TCP	1
1052	7.798262608978733	5353	UDP	0
685	4.855663810476911	29577	TCP	0
835	9.854331901588493	24363	HTTP	1
1091	3.8297158023856137	22292	HTTP	1
1403	7.520825169763113	40983	TCP	1
1394	3.9905955448907053	9442	UDP	0
1411	8.308725784994493	48775	UDP	1
1294	5.7339065447409014	49094	UDP	0
229	0.7287671129410134	2262	UDP	1
1288	0.46453648959631466	32487	HTTP	0
1448	1.4251359761262687	16350	HTTP	1
1440	0.23535245178727313	12612	HTTP	1
1346	0.8460546974893769	24558	HTTP	1
672	6.947972531972229	45920	HTTP	1
667	5.390028122791684	39390	UDP	0
1012	7.524116419752721	981	UDP	1
1322	9.140340947350664	47804	UDP	1
1422	5.892980370022173	33421	UDP	0
749	7.288596356311296	40885	HTTP	1
1474	7.595103900220313	2024	HTTP	0
688	3.840720437830286	35388	HTTP	1
357	2.4867398400633554	15548	TCP	1
1288	2.1299487522145966	35611	UDP	1
1297	2.589280151166805	38404	UDP	0
723	2.819844790556497	34508	HTTP	1
703	2.151553725179759	560	UDP	1
1437	8.794384608044004	9630	UDP	1
1296	7.594291408505064	18523	HTTP	0
1176	0.5642750311330772	45580	TCP	0
481	2.759857572050543	13850	TCP	1
603	0.31962894609998616	24854	TCP	0
1331	5.03183534779434	45686	HTTP	1
1449	4.81448589821124	28645	UDP	1
1450	8.330577751618762	34520	HTTP	1
1176	3.1469946737333894	21087	HTTP	1
991	8.182218778609316	41631	UDP	1
1144	9.682940277854248	10150	TCP	1
738	0.9752414113199012	20433	TCP	1
152	7.938996610749366	21081	HTTP	0
41	5.940563381662597	23893	TCP	0
681	4.852455073482903	23551	HTTP	0
259	4.263304208784243	26712	HTTP	0
894	7.868215813048664	49582	UDP	0
1288	6.429677434044999	4590	UDP	0
424	8.069942208441683	7460	UDP	0
1466	9.0411954808986	36272	HTTP	1
1193	6.210910749763191	22020	UDP	1
1116	9.80658097841454	49981	TCP	1
769	6.120069710464663	36908	TCP	1
1479	6.402778784060597	28970	HTTP	0
286	5.592674524568034	20991	HTTP	0
875	1.0009207014081698	1841	UDP	1
242	7.2913306232372594	45123	HTTP	1
1247	5.519718438301204	25291	HTTP	0
162	4.564013429419433	838	TCP	1
440	9.113665656192403	6395	TCP	1
806	3.0497985702653096	12754	UDP	1
333	5.283662532548611	11844	HTTP	1
319	7.006654527785287	2250	HTTP	0
923	7.985070579171385	2921	TCP	1
237	4.647533398667107	40387	HTTP	1
1021	8.436705008685225	5819	TCP	0
791	7.712285639022435	16396	UDP	0
183	0.755736180733472	12418	TCP	1
648	0.5540265374058663	25564	HTTP	0
1264	6.245976275778704	47117	UDP	1
1187	3.539392741431601	28435	TCP	1
226	2.1703948316772905	38141	TCP	0
1389	5.83853435127021	30211	UDP	1
503	3.481475783519796	5306	UDP	1
1412	5.418907825469294	41860	TCP	1
699	4.655179673937363	12682	HTTP	1
803	5.889184448896621	22797	TCP	0
994	4.062974840211785	20041	UDP	0
442	7.006908979599625	29421	TCP	1
1409	1.8826659962580556	17274	UDP	0
186	6.995364515648082	45313	UDP	1
1211	4.175446022139528	37698	HTTP	1
903	8.755744288058729	9320	UDP	1
528	5.200836943155688	24570	UDP	1
968	9.733792457774033	4732	HTTP	1
590	6.059160415855506	11622	UDP	0
377	2.316105752472574	15523	HTTP	1
911	8.235727304760047	8507	HTTP	0
680	3.516318015441629	18405	UDP	0
512	3.541430223378567	42286	UDP	1
190	0.4148663467031348	29898	TCP	1
1478	5.532281561153345	34768	HTTP	1
1361	5.390792686951977	7237	TCP	1
302	3.6243156942926626	36562	UDP	1
183	8.952750902669665	26010	TCP	0
385	1.3746091431664749	19926	HTTP	1
663	3.3679851817705386	37765	TCP	1
1056	3.2836693703322872	18350	HTTP	0
920	1.0136768036645862	1114	UDP	0
41	4.863339401157303	22276	UDP	1
936	6.909068699251222	24577	HTTP	0
1367	5.165404434117886	9874	UDP	1
293	1.654079058890318	35935	UDP	0
492	3.835131055896519	31407	UDP	0
1100	0.12569074139810096	13909	UDP	1
1223	8.69618095965231	17014	HTTP	0
1054	0.9367183760387512	30366	TCP	0
48	6.013053014328762	3483	TCP	0
1296	9.86394425908147	32205	UDP	0
1162	5.4122473952745915	21162	TCP	0
855	9.248013415163587	24010	TCP	0
247	2.437553677862303	13151	UDP	1
1194	7.623558548482097	41498	UDP	1
443	5.359530964337987	29035	TCP	0
191	7.233109007775502	7140	HTTP	1
93	0.7171794888612903	45047	UDP	1
1183	1.5626170098716443	15817	HTTP	1
667	1.4178575930160349	8064	TCP	0
626	6.902938503492978	27845	UDP	1
1483	8.459962659072925	48788	HTTP	0
1485	7.521200696885015	29187	UDP	1
143	0.4016743120625822	14237	TCP	0
293	8.685428312639761	9823	HTTP	0
1290	3.6060520408519423	15729	TCP	1
1175	4.031921941790417	44981	TCP	1
549	1.1382047486715612	9002	UDP	0
138	7.400311540328809	1045	HTTP	1
192	1.904610396911985	37614	TCP	1
953	5.68325441098648	29930	TCP	1
917	8.423028860191518	10496	HTTP	0
377	0.9831228542493563	28288	TCP	0
861	5.3998220837536826	30469	TCP	1
1226	2.4088424743430323	49043	HTTP	1
996	3.4949759563547764	14419	HTTP	1
200	4.792302420162506	4310	HTTP	0
840	3.6155326024651173	31086	HTTP	0
437	6.523346118886602	40474	UDP	1
1340	4.847862807367076	42273	HTTP	1
855	5.883574898670275	16871	UDP	1
1455	7.394542506409637	45584	UDP	1
1198	5.62164843290933	30129	UDP	1
1258	5.906700803141515	8936	TCP	1
440	5.6881395709741485	13484	UDP	0
679	3.849848996917765	33539	UDP	1
1096	3.4407236553319893	20395	TCP	0
727	9.006509231735622	18655	TCP	1
499	6.114796700706371	11116	TCP	1
994	2.51909623910008	37629	HTTP	0
509	5.032652208704508	40337	TCP	0
1438	3.3704499646810486	25074	TCP	0
1085	9.34354905522276	3930	UDP	0
789	0.1745901950273399	13176	TCP	1
77	2.3307946973540297	11316	HTTP	0
269	3.717032514773171	33233	TCP	1
1428	4.929317028006505	20644	HTTP	0
602	8.523093426577848	2550	TCP	1
477	0.9700874829474243	44960	TCP	1
1346	8.07806237873732	34433	TCP	1
66	0.6509695446340559	25451	TCP	1
265	8.438908949451998	32913	HTTP	1
1340	0.611191230957677	35301	HTTP	1
837	0.28060056614077433	33413	UDP	0
323	6.999918477427573	47537	HTTP	1
918	9.972829794207104	41100	TCP	0
999	8.976441603442806	25780	UDP	0
492	5.802384336276034	25057	UDP	1
1059	9.182216569546764	47554	UDP	0
855	0.15247006333629365	35900	TCP	1
698	9.75316491315691	4994	HTTP	0
586	4.958412914661966	15652	TCP	1
1255	7.256671356555579	24395	UDP	0
1112	8.22652858421819	9655	TCP	1
56	7.212726981281881	32383	TCP	1
1235	5.396863647244614	43694	HTTP	1
1283	4.818532892851478	43501	HTTP	1
197	8.401967331155985	2328	UDP	0
516	2.1302678454796453	45528	TCP	1
1109	9.683141258391919	42398	TCP	0
1436	7.138429540483808	32623	HTTP	0
557	2.0751185806493657	38073	TCP	0
138	7.388847118615033	1306	TCP	1
1100	5.345416229493055	41470	TCP	0
319	7.101577946880001	30257	HTTP	0
1412	7.701017064284104	35136	UDP	0
536	0.9641727779377869	15061	UDP	1
341	5.110429167957535	48780	TCP	1
220	9.326941988343648	24762	UDP	0
646	3.2743577023791914	15399	HTTP	1
1162	5.979442665823198	49488	HTTP	1
739	3.7553817669479717	16434	UDP	0
1032	4.597252924969086	38697	UDP	0
1179	5.531170867587717	42344	TCP	1
230	5.534327600900875	36832	UDP	0
292	2.097131577069335	34657	TCP	1
1020	6.8772583240103495	12093	TCP	1
967	0.9698943013023025	40542	HTTP	1
1224	1.474365257076002	17820	HTTP	1
1319	0.12683790420186375	27876	HTTP	1
1386	1.2552910350026452	44013	HTTP	1
167	4.7843453904137325	14699	UDP	0
57	6.100408622452802	16376	HTTP	0
605	7.9634655546679785	8745	UDP	1
609	1.1563225761230171	7714	HTTP	1
1386	8.522201854162901	1226	UDP	1
725	7.4851478029323095	47100	TCP	0
665	4.144331100065577	11862	UDP	1
1351	9.33608686428955	18797	UDP	0
893	9.910201816928167	30948	HTTP	1
1001	2.129517919527049	26672	UDP	1
194	3.8543629911416244	43374	TCP	0
529	9.271849293538141	8157	TCP	0
1449	7.243805852437644	19350	HTTP	1
824	0.5761369752444682	25925	TCP	1
1167	7.836993369339008	27185	UDP	1
1456	8.29661478305717	47819	TCP	0
285	7.529969055176604	25078	HTTP	0
1239	8.015417596103205	29331	UDP	0
1102	8.268813499258693	8406	HTTP	0
798	1.9454093692026266	7787	UDP	0
577	2.433348286043498	34160	TCP	0
960	6.374209780829754	10722	HTTP	1
447	9.087874691578907	37943	HTTP	1
564	3.230346164735297	35201	UDP	0
867	5.924236090371061	18264	HTTP	1
942	6.861522427829611	45141	UDP	1
75	4.574291152860488	18174	UDP	0
724	7.166446303067727	18524	UDP	1
59	9.006707708392513	46507	UDP	0
360	6.278605287400192	24374	TCP	0
551	5.443832512954867	44142	UDP	1
439	4.443572286344557	32784	HTTP	0
693	5.817114081970645	18102	TCP	0
1011	3.6180882730021193	38284	HTTP	0
510	3.9756728909948693	23765	TCP	0
1206	5.365389048912922	26431	UDP	0
1155	0.759529212669088	29341	TCP	0
1417	2.367351370155484	29692	TCP	0
873	5.474208175072748	47042	HTTP	0
766	4.372128617050782	43020	HTTP	1
893	3.3948762805335946	16085	UDP	1
90	7.332436454412084	26059	TCP	1
614	6.96780431329305	40559	TCP	0
1253	1.7506345239344934	34242	TCP	0
1188	8.798428242197039	4633	UDP	1
189	5.00469390139926	15163	UDP	1
353	7.44046302027655	22254	UDP	1
609	5.774193407648148	4472	UDP	0
1405	9.977156897646049	5795	UDP	1
344	7.548790888384345	47181	HTTP	1
721	7.099106566310244	42373	TCP	0
877	7.807862196602436	29625	TCP	1
1117	1.5169670569298492	41496	TCP	0
1042	2.1249914723776864	10403	TCP	0
483	7.16923441401378	3520	TCP	0
652	4.9904167225955405	42255	TCP	1
1032	7.570889389415154	20920	TCP	1
303	1.1188687043670358	21952	TCP	0
1116	5.411165379697488	46148	HTTP	1
1043	3.8503334990134657	38501	TCP	1
44	4.624302170888615	10016	HTTP	1
1166	6.079182933517874	47827	UDP	1
1259	5.072654639879048	49969	TCP	0
813	5.444620307417083	2896	UDP	1
916	4.914939071756517	19046	UDP	0
1031	4.148656253146383	19629	UDP	0
923	7.741631607922626	2091	HTTP	1
1413	0.22081041594864073	11803	UDP	0
86	6.024582741931748	31061	UDP	1
906	5.698532638497441	6683	UDP	1
862	7.190172839856227	27072	TCP	0
975	6.030390711295532	34580	TCP	0
695	8.285308395309876	21195	HTTP	0
308	9.594840466183875	7814	HTTP	0
409	3.49099014606758	20123	TCP	1
675	2.3507747319968715	2639	HTTP	1
1169	4.29360893796278	47956	TCP	1
696	2.950503203109689	31790	UDP	0
159	6.188007605211279	18588	UDP	0
870	9.127338847545351	40192	HTTP	0
1121	1.4772503220163127	33630	TCP	1
1409	1.0978665698572765	32588	TCP	0
780	2.634553765351256	26792	HTTP	1
156	7.288346302017768	46749	TCP	0
830	5.970332762062333	21170	UDP	1
1190	1.1119053758294761	4238	HTTP	1
1456	9.19563017038139	2969	HTTP	0
1052	7.921837907528459	23034	TCP	0
1121	0.3279237873976114	49374	HTTP	1
673	6.548535388783637	9517	TCP	1
552	7.735342018345406	3308	TCP	0
841	3.806910160232178	49638	TCP	0
1159	0.782323239735466	48138	TCP	1
1181	0.8654785483389938	13213	TCP	0
599	1.1320449639129142	40829	HTTP	1
527	8.420352356606188	3219	UDP	1
1300	9.115793362731559	23390	UDP	0
936	1.3158267402727648	12200	HTTP	0
1335	2.435469742491304	37009	HTTP	0
1252	1.7386530526361688	43034	UDP	0
743	1.944576706991795	37266	UDP	0
620	8.391158811124672	27205	UDP	1
829	3.388249485283896	19287	UDP	1
900	3.183298214051848	49345	UDP	0
286	2.3512166466834152	27088	TCP	0
1139	6.118154498563161	26623	HTTP	0
193	3.855126414016934	33562	TCP	1
1498	7.468071553248559	10677	UDP	0
1036	2.1352401029188113	22227	UDP	0
1149	7.899119898273475	30720	UDP	1
736	6.076843164128376	10382	TCP	1
1348	1.2312462705513088	1636	TCP	0
1283	4.203595383615914	35332	UDP	0
1132	8.648829592068275	32466	TCP	0
1110	9.237306294805	7509	TCP	1
1048	4.7104312109562505	13487	UDP	0
133	4.860286083081828	37811	TCP	0
997	9.192701776899082	32075	HTTP	0
1051	5.911975418952015	1507	HTTP	1
492	0.4251820354100396	5945	HTTP	1
1267	9.136219682503375	11206	HTTP	0
951	2.557441783295804	48017	UDP	0
257	5.818556345506317	44986	UDP	1
513	1.738581842536941	29757	UDP	1
471	0.43540368644129035	22236	HTTP	1
380	3.1835843942142987	42707	HTTP	1
590	7.826907504706268	13781	TCP	1
1352	2.8481130090312394	1935	TCP	1
1317	2.2789624194028613	33839	HTTP	1
396	2.2055397649781403	35650	HTTP	1
62	5.200219455827445	26321	HTTP	1
561	9.757859025259288	27160	HTTP	0
1163	4.643990981368429	5584	TCP	0
841	5.617323152011474	17161	HTTP	0
1243	8.620256977118267	14007	TCP	1
1286	5.39719021744322	7559	HTTP	0
801	1.9261824270466754	18771	HTTP	1
481	3.065999526488123	46039	HTTP	1
808	3.1683755700592484	7991	TCP	0
1055	4.033449343030219	47795	TCP	1
1388	4.325210162833819	15359	UDP	0
555	8.017842018535267	8573	HTTP	0
